CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/18/2022,18:01,,,40.714455,-73.935295,"(40.714455, -73.935295)",MORGAN AVENUE,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4521746,Sedan,Sedan,,,
04/18/2022,10:38,BROOKLYN,11220,40.647247,-74.01691,"(40.647247, -74.01691)",,,250       52 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4521282,Sedan,Box Truck,,,
04/18/2022,19:08,BROOKLYN,11212,40.667416,-73.90339,"(40.667416, -73.90339)",,,285       POWELL STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4521375,Sedan,,,,
04/18/2022,20:20,MANHATTAN,10026,40.806637,-73.95374,"(40.806637, -73.95374)",,,2216      8 AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4521276,Sedan,Sedan,,,
04/18/2022,16:00,QUEENS,11101,40.753487,-73.93795,"(40.753487, -73.93795)",40 AVENUE,CRESCENT STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4521687,,,,,
04/18/2022,14:24,,,40.8018,-73.96108,"(40.8018, -73.96108)",WEST 110 STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4521427,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/18/2022,16:30,BROOKLYN,11201,40.701756,-73.99275,"(40.701756, -73.99275)",HICKS STREET,DOUGHTY STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4521600,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/18/2022,12:29,BROOKLYN,11212,40.667862,-73.9035,"(40.667862, -73.9035)",,,261       POWELL STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4521761,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/18/2022,10:30,BRONX,10465,40.82464,-73.81726,"(40.82464, -73.81726)",,,565       HOLLYWOOD AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4521166,Sedan,Sedan,,,
04/18/2022,14:37,MANHATTAN,10038,40.709557,-74.00644,"(40.709557, -74.00644)",FULTON STREET,WILLIAM STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4521133,Bus,,,,
04/18/2022,0:05,BROOKLYN,11218,,,,,,450       OCEAN PARKWAY,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4522100,Sedan,Box Truck,,,
04/18/2022,1:40,,,,,,ZEREGA AVENUE,BRUCKNER BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4521876,Sedan,Sedan,,,
04/18/2022,13:15,,,40.83569,-73.86857,"(40.83569, -73.86857)",CROSS BRONX EXPY,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,,,,4521879,Sedan,Tractor Truck Diesel,,,
04/18/2022,13:00,,,40.820297,-73.854645,"(40.820297, -73.854645)",SEWARD AVENUE,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4521880,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/18/2022,9:20,MANHATTAN,10027,40.80662,-73.94484,"(40.80662, -73.94484)",,,55        WEST 124 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4522239,Station Wagon/Sport Utility Vehicle,,,,
04/18/2022,22:00,BRONX,10471,40.892605,-73.89775,"(40.892605, -73.89775)",,,4445      POST ROAD,0,0,0,0,0,0,0,0,Unspecified,,,,,4522475,Motorcycle,,,,
04/18/2022,7:00,BROOKLYN,11210,40.636066,-73.942215,"(40.636066, -73.942215)",,,1512      BROOKLYN AVENUE,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4522497,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/18/2022,11:10,QUEENS,11372,40.75468,-73.893745,"(40.75468, -73.893745)",73 STREET,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,,,,,4522780,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/18/2022,19:00,,,,,,MURIAL COURT,107 STREET,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4522881,Sedan,,,,
04/18/2022,20:40,BRONX,10461,0,0,"(0.0, 0.0)",,,1522      HOLLYWOOD AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4522958,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/18/2022,21:30,QUEENS,11412,40.704765,-73.75383,"(40.704765, -73.75383)",203 STREET,111 AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4522785,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/18/2022,15:00,,,0,0,"(0.0, 0.0)",STATION ROAD,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4523385,Station Wagon/Sport Utility Vehicle,,,,
04/18/2022,7:15,,,40.674,-73.960396,"(40.674, -73.960396)",CLASSON AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4523677,Sedan,Sedan,,,
04/18/2022,8:13,QUEENS,11106,40.76019,-73.9329,"(40.76019, -73.9329)",24 STREET,35 AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,,,,,4523333,Sedan,,,,
04/18/2022,2:00,,,40.743187,-73.97207,"(40.743187, -73.97207)",FDR DRIVE,EAST 34 STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4523138,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/18/2022,22:49,,,40.87931,-73.90314,"(40.87931, -73.90314)",MAJOR DEEGAN EXPRESSWAY,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4523359,Sedan,Tractor Truck Diesel,,,
04/18/2022,12:37,MANHATTAN,10018,40.75324,-73.99272,"(40.75324, -73.99272)",,,513       7 AVENUE,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4520110,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/18/2022,17:00,BRONX,10463,,,,,,2727      HENRY HUDSON PARKWAY WEST,0,0,0,0,0,0,0,0,Unspecified,,,,,4524809,Station Wagon/Sport Utility Vehicle,,,,
04/18/2022,0:27,BROOKLYN,11213,40.668507,-73.92561,"(40.668507, -73.92561)",BUFFALO AVENUE,EASTERN PARKWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4524995,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/18/2022,11:00,BRONX,10475,40.882153,-73.83193,"(40.882153, -73.83193)",,,2175      REEDS MILL LANE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4525810,Station Wagon/Sport Utility Vehicle,,,,
04/18/2022,9:00,,,40.89111,-73.863045,"(40.89111, -73.863045)",EAST 228 STREET,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4527624,Station Wagon/Sport Utility Vehicle,,,,
